!Keysight Technologies,E4990A,MY54403790,A.04.00,,,,,,,
!Date: Tue Mar 19 12:18:21 2024,,,,,,,,,,
,,,,,,,,,,
BEGIN CH1_DATA,,,,,,,,,,
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data,,,,,,,,
1.00E+05,5.99E-06,1.55E-01,,,,,,,,
2.00E+05,5.93E-06,2.12E-01,,,,,,,,
3.00E+05,5.91E-06,2.56E-01,,,,,,,,
4.00E+05,5.89E-06,2.92E-01,,,,,,,,
5.00E+05,5.88E-06,3.24E-01,,,,,,,,
6.00E+05,5.87E-06,3.53E-01,,,,,,,,
7.00E+05,5.87E-06,3.80E-01,,,,,,,,
8.00E+05,5.86E-06,4.04E-01,,,,,,,,
9.00E+05,5.86E-06,4.28E-01,,,,,,,,
1.00E+06,5.85E-06,4.50E-01,,,,,,,,
1.10E+06,5.85E-06,4.71E-01,,,,,,,,
1.20E+06,5.85E-06,4.91E-01,,,,,,,,
1.30E+06,5.85E-06,5.11E-01,,,,,,,,
1.40E+06,5.84E-06,5.30E-01,,,,,,,,
1.50E+06,5.84E-06,5.53E-01,,,,,,,,
1.60E+06,5.84E-06,5.73E-01,,,,,,,,
1.70E+06,5.84E-06,5.91E-01,,,,,,,,
1.80E+06,5.84E-06,6.08E-01,,,,,,,,
1.90E+06,5.84E-06,6.25E-01,,,,,,,,
2.00E+06,5.84E-06,6.40E-01,,,,,,,,
2.10E+06,5.84E-06,6.62E-01,,,,,,,,
2.20E+06,5.84E-06,6.76E-01,,,,,,,,
2.30E+06,5.83E-06,6.92E-01,,,,,,,,
2.40E+06,5.83E-06,7.06E-01,,,,,,,,
2.50E+06,5.83E-06,7.23E-01,,,,,,,,
2.60E+06,5.83E-06,7.39E-01,,,,,,,,
2.70E+06,5.83E-06,7.54E-01,,,,,,,,
2.80E+06,5.83E-06,7.69E-01,,,,,,,,
2.90E+06,5.83E-06,7.83E-01,,,,,,,,
3.00E+06,5.83E-06,7.97E-01,,,,,,,,
3.10E+06,5.83E-06,8.11E-01,,,,,,,,
3.20E+06,5.83E-06,8.26E-01,,,,,,,,
3.30E+06,5.83E-06,8.41E-01,,,,,,,,
3.40E+06,5.83E-06,8.53E-01,,,,,,,,
3.50E+06,5.83E-06,8.66E-01,,,,,,,,
3.60E+06,5.83E-06,8.83E-01,,,,,,,,
3.70E+06,5.83E-06,8.94E-01,,,,,,,,
3.80E+06,5.83E-06,9.08E-01,,,,,,,,
3.90E+06,5.84E-06,9.21E-01,,,,,,,,
4.00E+06,5.84E-06,9.34E-01,,,,,,,,
4.10E+06,5.84E-06,9.47E-01,,,,,,,,
4.20E+06,5.84E-06,9.59E-01,,,,,,,,
4.30E+06,5.84E-06,9.75E-01,,,,,,,,
4.40E+06,5.84E-06,9.88E-01,,,,,,,,
4.50E+06,5.84E-06,9.99E-01,,,,,,,,
4.60E+06,5.84E-06,1.01E+00,,,,,,,,
4.70E+06,5.84E-06,1.03E+00,,,,,,,,
4.80E+06,5.84E-06,1.04E+00,,,,,,,,
4.90E+06,5.84E-06,1.05E+00,,,,,,,,
5.00E+06,5.84E-06,1.06E+00,,,,,,,,
5.10E+06,5.84E-06,1.08E+00,,,,,,,,
5.20E+06,5.84E-06,1.09E+00,,,,,,,,
5.30E+06,5.84E-06,1.11E+00,,,,,,,,
5.40E+06,5.85E-06,1.12E+00,,,,,,,,
5.50E+06,5.85E-06,1.13E+00,,,,,,,,
5.60E+06,5.85E-06,1.14E+00,,,,,,,,
5.70E+06,5.85E-06,1.16E+00,,,,,,,,
5.80E+06,5.85E-06,1.17E+00,,,,,,,,
5.90E+06,5.85E-06,1.18E+00,,,,,,,,
6.00E+06,5.85E-06,1.19E+00,,,,,,,,
6.10E+06,5.85E-06,1.20E+00,,,,,,,,
6.20E+06,5.85E-06,1.21E+00,,,,,,,,
6.30E+06,5.86E-06,1.23E+00,,,,,,,,
6.40E+06,5.86E-06,1.24E+00,,,,,,,,
6.50E+06,5.86E-06,1.25E+00,,,,,,,,
6.60E+06,5.86E-06,1.27E+00,,,,,,,,
6.70E+06,5.86E-06,1.28E+00,,,,,,,,
6.80E+06,5.86E-06,1.29E+00,,,,,,,,
6.90E+06,5.86E-06,1.31E+00,,,,,,,,
7.00E+06,5.86E-06,1.32E+00,,,,,,,,
7.10E+06,5.87E-06,1.33E+00,,,,,,,,
7.20E+06,5.87E-06,1.35E+00,,,,,,,,
7.30E+06,5.87E-06,1.36E+00,,,,,,,,
7.40E+06,5.87E-06,1.37E+00,,,,,,,,
7.50E+06,5.87E-06,1.38E+00,,,,,,,,
7.60E+06,5.87E-06,1.40E+00,,,,,,,,
7.70E+06,5.87E-06,1.41E+00,,,,,,,,
7.80E+06,5.88E-06,1.42E+00,,,,,,,,
7.90E+06,5.88E-06,1.44E+00,,,,,,,,
