!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 11:58:32 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +5.09273406455e-007, +2.18718052784e-002
+2.00000000000e+005, +5.02289043076e-007, +2.96374839304e-002
+3.00000000000e+005, +4.98726918882e-007, +3.53759779203e-002
+4.00000000000e+005, +4.96551023736e-007, +4.02152394550e-002
+5.00000000000e+005, +4.95120002531e-007, +4.44880563905e-002
+6.00000000000e+005, +4.94007998890e-007, +4.81854320062e-002
+7.00000000000e+005, +4.93136243477e-007, +5.18061981618e-002
+8.00000000000e+005, +4.92438786227e-007, +5.50726100103e-002
+9.00000000000e+005, +4.91872819837e-007, +5.80915532238e-002
+1.00000000000e+006, +4.91400612441e-007, +6.10067929123e-002
+1.10000000000e+006, +4.90969479489e-007, +6.38639192654e-002
+1.20000000000e+006, +4.90638059806e-007, +6.64216575945e-002
+1.30000000000e+006, +4.90294545646e-007, +6.89159113395e-002
+1.40000000000e+006, +4.90001607674e-007, +7.13102836287e-002
+1.50000000000e+006, +4.89798171899e-007, +7.40378873561e-002
+1.60000000000e+006, +4.89399765349e-007, +7.67278274235e-002
+1.70000000000e+006, +4.89231043093e-007, +7.92223667076e-002
+1.80000000000e+006, +4.89053507352e-007, +8.14620190099e-002
+1.90000000000e+006, +4.88871888008e-007, +8.35852558320e-002
+2.00000000000e+006, +4.88725953455e-007, +8.54297907907e-002
+2.10000000000e+006, +4.88576762597e-007, +8.82340159466e-002
+2.20000000000e+006, +4.88414106959e-007, +8.99824186804e-002
+2.30000000000e+006, +4.88291245581e-007, +9.21229331535e-002
+2.40000000000e+006, +4.88091954066e-007, +9.34303893901e-002
+2.50000000000e+006, +4.88037501456e-007, +9.59185845098e-002
+2.60000000000e+006, +4.87936905228e-007, +9.77902252071e-002
+2.70000000000e+006, +4.87828621954e-007, +9.94810101813e-002
+2.80000000000e+006, +4.87722847319e-007, +1.01481488781e-001
+2.90000000000e+006, +4.87647264002e-007, +1.03270111744e-001
+3.00000000000e+006, +4.87554555014e-007, +1.05052009616e-001
+3.10000000000e+006, +4.87469099726e-007, +1.06767404912e-001
+3.20000000000e+006, +4.87389272758e-007, +1.08742722528e-001
+3.30000000000e+006, +4.87311545077e-007, +1.10531552481e-001
+3.40000000000e+006, +4.87242441594e-007, +1.12306154273e-001
+3.50000000000e+006, +4.87173225785e-007, +1.13618557725e-001
+3.60000000000e+006, +4.87115354191e-007, +1.15045893203e-001
+3.70000000000e+006, +4.87051823588e-007, +1.17326720283e-001
+3.80000000000e+006, +4.86996469345e-007, +1.18875060329e-001
+3.90000000000e+006, +4.86958930694e-007, +1.20318807524e-001
+4.00000000000e+006, +4.86880272085e-007, +1.22070223059e-001
+4.10000000000e+006, +4.86833294061e-007, +1.23562452683e-001
+4.20000000000e+006, +4.86793807752e-007, +1.25752671008e-001
+4.30000000000e+006, +4.86727475814e-007, +1.26836155434e-001
+4.40000000000e+006, +4.86677527208e-007, +1.28319545157e-001
+4.50000000000e+006, +4.86641768634e-007, +1.29712615393e-001
+4.60000000000e+006, +4.86594616282e-007, +1.31200291499e-001
+4.70000000000e+006, +4.86550022798e-007, +1.32977333678e-001
+4.80000000000e+006, +4.86506819232e-007, +1.34415973515e-001
+4.90000000000e+006, +4.86466594441e-007, +1.35744797400e-001
+5.00000000000e+006, +4.86447644121e-007, +1.37110831810e-001
+5.10000000000e+006, +4.86402041416e-007, +1.38448517625e-001
+5.20000000000e+006, +4.86363753741e-007, +1.39712361757e-001
+5.30000000000e+006, +4.86322410949e-007, +1.41514027941e-001
+5.40000000000e+006, +4.86289165425e-007, +1.42987899081e-001
+5.50000000000e+006, +4.86258002121e-007, +1.44379267634e-001
+5.60000000000e+006, +4.86228141774e-007, +1.45640546389e-001
+5.70000000000e+006, +4.86199329410e-007, +1.47018980917e-001
+5.80000000000e+006, +4.86170545374e-007, +1.48328065500e-001
+5.90000000000e+006, +4.86150944747e-007, +1.49408425744e-001
+6.00000000000e+006, +4.86126823486e-007, +1.50672933131e-001
+6.10000000000e+006, +4.86104746322e-007, +1.52070823722e-001
+6.20000000000e+006, +4.86074579525e-007, +1.53230165978e-001
+6.30000000000e+006, +4.86045811558e-007, +1.54955054948e-001
+6.40000000000e+006, +4.86025306829e-007, +1.56218885048e-001
+6.50000000000e+006, +4.85998205330e-007, +1.57635539391e-001
+6.60000000000e+006, +4.85976452659e-007, +1.58796139000e-001
+6.70000000000e+006, +4.85959259583e-007, +1.60040861824e-001
+6.80000000000e+006, +4.85937885440e-007, +1.61176582170e-001
+6.90000000000e+006, +4.85918576054e-007, +1.62587497255e-001
+7.00000000000e+006, +4.85904611492e-007, +1.64060976286e-001
+7.10000000000e+006, +4.85892534514e-007, +1.64830278207e-001
+7.20000000000e+006, +4.85876178406e-007, +1.65952720884e-001
+7.30000000000e+006, +4.85857860682e-007, +1.67277334463e-001
+7.40000000000e+006, +4.85841692307e-007, +1.68582237961e-001
+7.50000000000e+006, +4.85824057679e-007, +1.69553123473e-001
+7.60000000000e+006, +4.85811843345e-007, +1.70965089882e-001
+7.70000000000e+006, +4.85797758567e-007, +1.72064161459e-001
+7.80000000000e+006, +4.85787196114e-007, +1.73238624036e-001
+7.90000000000e+006, +4.85767258772e-007, +1.74560459110e-001
+8.00000000000e+006, +4.85760756262e-007, +1.76150638780e-001
+8.10000000000e+006, +4.85734359925e-007, +1.77174941589e-001
+8.20000000000e+006, +4.85723294866e-007, +1.78146419107e-001
+8.30000000000e+006, +4.85711827907e-007, +1.79658675949e-001
+8.40000000000e+006, +4.85696495192e-007, +1.80981990095e-001
+8.50000000000e+006, +4.85683590475e-007, +1.81928163590e-001
+8.60000000000e+006, +4.85682226559e-007, +1.82899969342e-001
+8.70000000000e+006, +4.85667289460e-007, +1.84265402300e-001
+8.80000000000e+006, +4.85660749463e-007, +1.85492036474e-001
+8.90000000000e+006, +4.85653648627e-007, +1.86552317308e-001
+9.00000000000e+006, +4.85640099929e-007, +1.87778543198e-001
+9.10000000000e+006, +4.85628610560e-007, +1.88923735525e-001
+9.20000000000e+006, +4.85625237252e-007, +1.90212654150e-001
+9.30000000000e+006, +4.85615327135e-007, +1.91241515857e-001
+9.40000000000e+006, +4.85607692016e-007, +1.92262823351e-001
+9.50000000000e+006, +4.85611574022e-007, +1.94957954862e-001
+9.60000000000e+006, +4.85597603769e-007, +1.94667717856e-001
+9.70000000000e+006, +4.85588111299e-007, +1.95673428805e-001
+9.80000000000e+006, +4.85583030596e-007, +1.96837782573e-001
+9.90000000000e+006, +4.85574145420e-007, +1.97899120094e-001
+1.00000000000e+007, +4.85571900892e-007, +1.98979933949e-001
END
