!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Fri Jun 07 11:28:49 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +5.93993050672e-008, +3.99042161444e-003
+2.00000000000e+005, +5.84031117614e-008, +5.07932646844e-003
+3.00000000000e+005, +5.78769100892e-008, +5.92043855407e-003
+4.00000000000e+005, +5.75995218973e-008, +6.51470601082e-003
+5.00000000000e+005, +5.73619609486e-008, +7.08624846108e-003
+6.00000000000e+005, +5.72321850913e-008, +7.63632135064e-003
+7.00000000000e+005, +5.71059774704e-008, +8.11626421856e-003
+8.00000000000e+005, +5.70128434812e-008, +8.54033181990e-003
+9.00000000000e+005, +5.69316817252e-008, +8.95467644296e-003
+1.00000000000e+006, +5.68593188873e-008, +9.30993146982e-003
+1.10000000000e+006, +5.68127055180e-008, +9.72038873749e-003
+1.20000000000e+006, +5.67669868128e-008, +1.00302723129e-002
+1.30000000000e+006, +5.67147388922e-008, +1.03417856026e-002
+1.40000000000e+006, +5.66820403141e-008, +1.07126237644e-002
+1.50000000000e+006, +5.66011256064e-008, +1.15576406571e-002
+1.60000000000e+006, +5.65600708454e-008, +1.21205716094e-002
+1.70000000000e+006, +5.65728082769e-008, +1.17875330288e-002
+1.80000000000e+006, +5.65534404628e-008, +1.19874056974e-002
+1.90000000000e+006, +5.65326397929e-008, +1.22707048304e-002
+2.00000000000e+006, +5.65249358744e-008, +1.21144008336e-002
+2.10000000000e+006, +5.64334562905e-008, +1.32032919137e-002
+2.20000000000e+006, +5.64598524002e-008, +1.32286358461e-002
+2.30000000000e+006, +5.64429861801e-008, +1.34477428222e-002
+2.40000000000e+006, +5.65107412741e-008, +1.35609376895e-002
+2.50000000000e+006, +5.64160628847e-008, +1.38916051632e-002
+2.60000000000e+006, +5.63999917625e-008, +1.43069140673e-002
+2.70000000000e+006, +5.63697952025e-008, +1.45974870746e-002
+2.80000000000e+006, +5.63705687613e-008, +1.47023128435e-002
+2.90000000000e+006, +5.63636400227e-008, +1.48692848323e-002
+3.00000000000e+006, +5.63438880130e-008, +1.53447768031e-002
+3.10000000000e+006, +5.63359628649e-008, +1.53644329166e-002
+3.20000000000e+006, +5.63182450472e-008, +1.56475553876e-002
+3.30000000000e+006, +5.63035613284e-008, +1.58532377584e-002
+3.40000000000e+006, +5.62967393657e-008, +1.60365027099e-002
+3.50000000000e+006, +5.62995916139e-008, +1.66044957936e-002
+3.60000000000e+006, +5.62267737657e-008, +1.58636956993e-002
+3.70000000000e+006, +5.62753676790e-008, +1.66017112511e-002
+3.80000000000e+006, +5.62620807499e-008, +1.68905937698e-002
+3.90000000000e+006, +5.62629702375e-008, +1.72746388505e-002
+4.00000000000e+006, +5.62382167770e-008, +1.72678352130e-002
+4.10000000000e+006, +5.62358858895e-008, +1.73516977861e-002
+4.20000000000e+006, +5.62428367665e-008, +1.80214652414e-002
+4.30000000000e+006, +5.62161547774e-008, +1.76910299293e-002
+4.40000000000e+006, +5.62128604361e-008, +1.79702873627e-002
+4.50000000000e+006, +5.62102884481e-008, +1.81501164937e-002
+4.60000000000e+006, +5.62001267562e-008, +1.83505365754e-002
+4.70000000000e+006, +5.61951718030e-008, +1.85563768724e-002
+4.80000000000e+006, +5.61924998443e-008, +1.87552954177e-002
+4.90000000000e+006, +5.61836588082e-008, +1.88311982910e-002
+5.00000000000e+006, +5.61852526402e-008, +1.89710658806e-002
+5.10000000000e+006, +5.61791726511e-008, +1.91744769184e-002
+5.20000000000e+006, +5.61697052477e-008, +1.91774324424e-002
+5.30000000000e+006, +5.61686621543e-008, +1.94389189094e-002
+5.40000000000e+006, +5.61584205416e-008, +1.96574358652e-002
+5.50000000000e+006, +5.61509513537e-008, +1.98600316556e-002
+5.60000000000e+006, +5.61523227171e-008, +2.00343491030e-002
+5.70000000000e+006, +5.61481210856e-008, +2.00947978152e-002
+5.80000000000e+006, +5.61421717480e-008, +2.02879105863e-002
+5.90000000000e+006, +5.61422249464e-008, +2.03451912978e-002
+6.00000000000e+006, +5.61353780801e-008, +2.06442983282e-002
+6.10000000000e+006, +5.61324085264e-008, +2.06316494957e-002
+6.20000000000e+006, +5.61336816493e-008, +2.09836775418e-002
+6.30000000000e+006, +5.61264408901e-008, +2.11833089145e-002
+6.40000000000e+006, +5.61254652250e-008, +2.14020389676e-002
+6.50000000000e+006, +5.61215586343e-008, +2.14218089086e-002
+6.60000000000e+006, +5.61145639207e-008, +2.16368467157e-002
+6.70000000000e+006, +5.61117688392e-008, +2.17459244497e-002
+6.80000000000e+006, +5.61079550759e-008, +2.18834974640e-002
+6.90000000000e+006, +5.61078361360e-008, +2.21094167658e-002
+7.00000000000e+006, +5.60987304892e-008, +2.21972792490e-002
+7.10000000000e+006, +5.61012575277e-008, +2.22011563499e-002
+7.20000000000e+006, +5.61004744621e-008, +2.23685038427e-002
+7.30000000000e+006, +5.60989157644e-008, +2.24882346968e-002
+7.40000000000e+006, +5.60949094985e-008, +2.27170540939e-002
+7.50000000000e+006, +5.60952313184e-008, +2.27157985569e-002
+7.60000000000e+006, +5.60929641657e-008, +2.28642687758e-002
+7.70000000000e+006, +5.60891669759e-008, +2.29713236212e-002
+7.80000000000e+006, +5.60882247633e-008, +2.31087965673e-002
+7.90000000000e+006, +5.60802753554e-008, +2.32741349250e-002
+8.00000000000e+006, +5.60740299877e-008, +2.35226098335e-002
+8.10000000000e+006, +5.60753821651e-008, +2.36012550976e-002
+8.20000000000e+006, +5.60744854966e-008, +2.38031233712e-002
+8.30000000000e+006, +5.60724160375e-008, +2.38397932317e-002
+8.40000000000e+006, +5.60708467734e-008, +2.40538872589e-002
+8.50000000000e+006, +5.60666918220e-008, +2.41973581609e-002
+8.60000000000e+006, +5.60693681844e-008, +2.41756485505e-002
+8.70000000000e+006, +5.60666073365e-008, +2.43666995221e-002
+8.80000000000e+006, +5.60651446492e-008, +2.45810228329e-002
+8.90000000000e+006, +5.60646468921e-008, +2.45440723126e-002
+9.00000000000e+006, +5.60619046379e-008, +2.46136836946e-002
+9.10000000000e+006, +5.60595791985e-008, +2.47174961061e-002
+9.20000000000e+006, +5.60580746000e-008, +2.49423969819e-002
+9.30000000000e+006, +5.60556481798e-008, +2.50756643774e-002
+9.40000000000e+006, +5.60552625321e-008, +2.51466778130e-002
+9.50000000000e+006, +5.60470003038e-008, +2.39852523914e-002
+9.60000000000e+006, +5.60469721639e-008, +2.54471869546e-002
+9.70000000000e+006, +5.60470217832e-008, +2.56463779020e-002
+9.80000000000e+006, +5.60464845117e-008, +2.57674720624e-002
+9.90000000000e+006, +5.60449988545e-008, +2.60405108758e-002
+1.00000000000e+007, +5.60443905510e-008, +2.60501130618e-002
END
