!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Fri Jun 07 13:32:37 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +2.09571638024e-007, +1.51378588931e-001
+2.00000000000e+005, +2.03786884750e-007, +1.60182216027e-001
+3.00000000000e+005, +1.99797870983e-007, +1.67709337733e-001
+4.00000000000e+005, +1.97153369453e-007, +1.74036772754e-001
+5.00000000000e+005, +1.95231438806e-007, +1.79446591079e-001
+6.00000000000e+005, +1.93818177709e-007, +1.84076102476e-001
+7.00000000000e+005, +1.92693343538e-007, +1.88340540960e-001
+8.00000000000e+005, +1.91825174462e-007, +1.92209002639e-001
+9.00000000000e+005, +1.91105415262e-007, +1.95637174264e-001
+1.00000000000e+006, +1.90516326005e-007, +1.98819308620e-001
+1.10000000000e+006, +1.90005246645e-007, +2.01706776492e-001
+1.20000000000e+006, +1.89576386255e-007, +2.04438482124e-001
+1.30000000000e+006, +1.89194025369e-007, +2.06981071277e-001
+1.40000000000e+006, +1.88870827539e-007, +2.09361682693e-001
+1.50000000000e+006, +1.88665736575e-007, +2.11520966008e-001
+1.60000000000e+006, +1.88280566527e-007, +2.14723023398e-001
+1.70000000000e+006, +1.88071303743e-007, +2.16431264633e-001
+1.80000000000e+006, +1.87885505940e-007, +2.18348224131e-001
+1.90000000000e+006, +1.87702691524e-007, +2.20273798141e-001
+2.00000000000e+006, +1.87508719765e-007, +2.22342568675e-001
+2.10000000000e+006, +1.87398274661e-007, +2.23845150580e-001
+2.20000000000e+006, +1.87278528192e-007, +2.25608526571e-001
+2.30000000000e+006, +1.87158337495e-007, +2.27432205309e-001
+2.40000000000e+006, +1.87049473640e-007, +2.28682061988e-001
+2.50000000000e+006, +1.86967635763e-007, +2.30581396245e-001
+2.60000000000e+006, +1.86879976880e-007, +2.32022157025e-001
+2.70000000000e+006, +1.86798370345e-007, +2.33489772685e-001
+2.80000000000e+006, +1.86735114120e-007, +2.35074408653e-001
+2.90000000000e+006, +1.86685217440e-007, +2.36650058872e-001
+3.00000000000e+006, +1.86620699954e-007, +2.37999507193e-001
+3.10000000000e+006, +1.86577691103e-007, +2.39480569468e-001
+3.20000000000e+006, +1.86531979151e-007, +2.40758966385e-001
+3.30000000000e+006, +1.86493597598e-007, +2.42076181330e-001
+3.40000000000e+006, +1.86468084286e-007, +2.43426629148e-001
+3.50000000000e+006, +1.86448035495e-007, +2.44654058211e-001
+3.60000000000e+006, +1.86409091339e-007, +2.45888419445e-001
+3.70000000000e+006, +1.86401300262e-007, +2.47306402221e-001
+3.80000000000e+006, +1.86378524104e-007, +2.48530055767e-001
+3.90000000000e+006, +1.86311808221e-007, +2.49520091937e-001
+4.00000000000e+006, +1.86366448324e-007, +2.51084931591e-001
+4.10000000000e+006, +1.86362863822e-007, +2.52230947373e-001
+4.20000000000e+006, +1.86363860675e-007, +2.53616244064e-001
+4.30000000000e+006, +1.86352277425e-007, +2.54624377210e-001
+4.40000000000e+006, +1.86353335817e-007, +2.55829214363e-001
+4.50000000000e+006, +1.86368043306e-007, +2.56994247760e-001
+4.60000000000e+006, +1.86380939079e-007, +2.58157309522e-001
+4.70000000000e+006, +1.86386787286e-007, +2.59458074766e-001
+4.80000000000e+006, +1.86399742662e-007, +2.60442990189e-001
+4.90000000000e+006, +1.86417577412e-007, +2.61737129898e-001
+5.00000000000e+006, +1.86443534068e-007, +2.62752757688e-001
+5.10000000000e+006, +1.86464313486e-007, +2.63938970261e-001
+5.20000000000e+006, +1.86488709186e-007, +2.65230735554e-001
+5.30000000000e+006, +1.86516102962e-007, +2.66338433738e-001
+5.40000000000e+006, +1.86544379149e-007, +2.67474851283e-001
+5.50000000000e+006, +1.86573346818e-007, +2.68582518385e-001
+5.60000000000e+006, +1.86608768132e-007, +2.69625487279e-001
+5.70000000000e+006, +1.86644788121e-007, +2.70799988648e-001
+5.80000000000e+006, +1.86681456562e-007, +2.71886615443e-001
+5.90000000000e+006, +1.86721188126e-007, +2.73116712670e-001
+6.00000000000e+006, +1.86762380170e-007, +2.74081000753e-001
+6.10000000000e+006, +1.86805255219e-007, +2.75325618593e-001
+6.20000000000e+006, +1.86851313677e-007, +2.76478103513e-001
+6.30000000000e+006, +1.86892141621e-007, +2.77593410526e-001
+6.40000000000e+006, +1.86943978291e-007, +2.78683483851e-001
+6.50000000000e+006, +1.86990303443e-007, +2.79659684575e-001
+6.60000000000e+006, +1.87043068050e-007, +2.80845416436e-001
+6.70000000000e+006, +1.87096485389e-007, +2.82119499618e-001
+6.80000000000e+006, +1.87150198148e-007, +2.83204073217e-001
+6.90000000000e+006, +1.87206040966e-007, +2.84405959186e-001
+7.00000000000e+006, +1.87256976654e-007, +2.85428314190e-001
+7.10000000000e+006, +1.87332330224e-007, +2.86266210120e-001
+7.20000000000e+006, +1.87395488219e-007, +2.87467595783e-001
+7.30000000000e+006, +1.87459170421e-007, +2.88515270575e-001
+7.40000000000e+006, +1.87522181700e-007, +2.89647246709e-001
+7.50000000000e+006, +1.87587521583e-007, +2.90837959478e-001
+7.60000000000e+006, +1.87654035356e-007, +2.91912262290e-001
+7.70000000000e+006, +1.87724804790e-007, +2.93098723185e-001
+7.80000000000e+006, +1.87797659376e-007, +2.94160204258e-001
+7.90000000000e+006, +1.87865991167e-007, +2.95792120282e-001
+8.00000000000e+006, +1.87942170305e-007, +2.97660763620e-001
+8.10000000000e+006, +1.88014378972e-007, +2.98084100098e-001
+8.20000000000e+006, +1.88097028285e-007, +2.99214370769e-001
+8.30000000000e+006, +1.88174067535e-007, +3.00469286280e-001
+8.40000000000e+006, +1.88255373311e-007, +3.01870552173e-001
+8.50000000000e+006, +1.88333663320e-007, +3.02952718563e-001
+8.60000000000e+006, +1.88419947842e-007, +3.03739806722e-001
+8.70000000000e+006, +1.88505702352e-007, +3.05005586186e-001
+8.80000000000e+006, +1.88591825374e-007, +3.06089959688e-001
+8.90000000000e+006, +1.88681364140e-007, +3.07531294799e-001
+9.00000000000e+006, +1.88771893199e-007, +3.08759756080e-001
+9.10000000000e+006, +1.88864422530e-007, +3.09920359267e-001
+9.20000000000e+006, +1.88958139846e-007, +3.11016085502e-001
+9.30000000000e+006, +1.89053654881e-007, +3.12301167742e-001
+9.40000000000e+006, +1.89146445502e-007, +3.14028510992e-001
+9.50000000000e+006, +1.89247139862e-007, +3.15244315892e-001
+9.60000000000e+006, +1.89341930790e-007, +3.16581689335e-001
+9.70000000000e+006, +1.89440298022e-007, +3.17850586540e-001
+9.80000000000e+006, +1.89544173273e-007, +3.19203738821e-001
+9.90000000000e+006, +1.89646896435e-007, +3.20266109917e-001
+1.00000000000e+007, +1.89754034903e-007, +3.21605213014e-001
END
