!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 14:14:49 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +2.53359515998e-006, +6.87269575085e-002
+2.00000000000e+005, +2.50856613650e-006, +9.47475475009e-002
+3.00000000000e+005, +2.49648133260e-006, +1.14227454421e-001
+4.00000000000e+005, +2.48926503698e-006, +1.30547730028e-001
+5.00000000000e+005, +2.48438439323e-006, +1.44881707395e-001
+6.00000000000e+005, +2.48077145697e-006, +1.57582806038e-001
+7.00000000000e+005, +2.47803114486e-006, +1.69794413489e-001
+8.00000000000e+005, +2.47587512554e-006, +1.81028234217e-001
+9.00000000000e+005, +2.47416557413e-006, +1.91511122394e-001
+1.00000000000e+006, +2.47280009462e-006, +2.01240051277e-001
+1.10000000000e+006, +2.47166581997e-006, +2.10779681602e-001
+1.20000000000e+006, +2.47079426963e-006, +2.19934591093e-001
+1.30000000000e+006, +2.46998299493e-006, +2.28448893460e-001
+1.40000000000e+006, +2.46935354269e-006, +2.37228049609e-001
+1.50000000000e+006, +2.46880619596e-006, +2.47605296018e-001
+1.60000000000e+006, +2.46823971879e-006, +2.56775118232e-001
+1.70000000000e+006, +2.46795309805e-006, +2.65067428989e-001
+1.80000000000e+006, +2.46777685276e-006, +2.72786706313e-001
+1.90000000000e+006, +2.46765113056e-006, +2.80600264083e-001
+2.00000000000e+006, +2.46766471240e-006, +2.87786302871e-001
+2.10000000000e+006, +2.46764319269e-006, +2.96321769240e-001
+2.20000000000e+006, +2.46766767921e-006, +3.03597123724e-001
+2.30000000000e+006, +2.46783039754e-006, +3.10917177931e-001
+2.40000000000e+006, +2.46798190771e-006, +3.18160884737e-001
+2.50000000000e+006, +2.46821175686e-006, +3.25310141062e-001
+2.60000000000e+006, +2.46847342180e-006, +3.32297163358e-001
+2.70000000000e+006, +2.46879188688e-006, +3.38589381391e-001
+2.80000000000e+006, +2.46915838317e-006, +3.46323741379e-001
+2.90000000000e+006, +2.46956270231e-006, +3.52462552458e-001
+3.00000000000e+006, +2.47002964046e-006, +3.59555443894e-001
+3.10000000000e+006, +2.47051718235e-006, +3.66328241658e-001
+3.20000000000e+006, +2.47104490676e-006, +3.72922274575e-001
+3.30000000000e+006, +2.47161613577e-006, +3.79837711952e-001
+3.40000000000e+006, +2.47220620968e-006, +3.86571728676e-001
+3.50000000000e+006, +2.47285849123e-006, +3.96701373163e-001
+3.60000000000e+006, +2.47347274560e-006, +3.97263804050e-001
+3.70000000000e+006, +2.47425629086e-006, +4.06444111006e-001
+3.80000000000e+006, +2.47496060420e-006, +4.12365184099e-001
+3.90000000000e+006, +2.47583126896e-006, +4.16298465334e-001
+4.00000000000e+006, +2.47657042082e-006, +4.25495666442e-001
+4.10000000000e+006, +2.47742034073e-006, +4.31607770032e-001
+4.20000000000e+006, +2.47834061942e-006, +4.35492741515e-001
+4.30000000000e+006, +2.47921099305e-006, +4.44626456084e-001
+4.40000000000e+006, +2.48014633123e-006, +4.51181514519e-001
+4.50000000000e+006, +2.48114223240e-006, +4.57923454180e-001
+4.60000000000e+006, +2.48215235376e-006, +4.64303698959e-001
+4.70000000000e+006, +2.48320449932e-006, +4.71801827403e-001
+4.80000000000e+006, +2.48426619412e-006, +4.77868426010e-001
+4.90000000000e+006, +2.48537183365e-006, +4.84500808552e-001
