!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 13:54:50 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +1.08503569999e-006, +3.94481686451e-002
+2.00000000000e+005, +1.07154152158e-006, +5.38604393870e-002
+3.00000000000e+005, +1.06480338037e-006, +6.46643890494e-002
+4.00000000000e+005, +1.06074960521e-006, +7.37095512944e-002
+5.00000000000e+005, +1.05801533923e-006, +8.16944865072e-002
+6.00000000000e+005, +1.05591717600e-006, +8.86502743183e-002
+7.00000000000e+005, +1.05429499733e-006, +9.53578748537e-002
+8.00000000000e+005, +1.05302857302e-006, +1.01408255644e-001
+9.00000000000e+005, +1.05195986464e-006, +1.07110212871e-001
+1.00000000000e+006, +1.05106366391e-006, +1.12596767965e-001
+1.10000000000e+006, +1.05030865372e-006, +1.17765844486e-001
+1.20000000000e+006, +1.04967076748e-006, +1.22608380999e-001
+1.30000000000e+006, +1.04906338883e-006, +1.27309126399e-001
+1.40000000000e+006, +1.04854713753e-006, +1.31894423873e-001
+1.50000000000e+006, +1.04808312460e-006, +1.37326224812e-001
+1.60000000000e+006, +1.04752593889e-006, +1.42742570661e-001
+1.70000000000e+006, +1.04715496228e-006, +1.46835999393e-001
+1.80000000000e+006, +1.04683077486e-006, +1.51191104976e-001
+1.90000000000e+006, +1.04651169538e-006, +1.55070415320e-001
+2.00000000000e+006, +1.04626432234e-006, +1.58582018287e-001
+2.10000000000e+006, +1.04597219360e-006, +1.63462483668e-001
+2.20000000000e+006, +1.04571145772e-006, +1.66878901129e-001
+2.30000000000e+006, +1.04550805357e-006, +1.70704277255e-001
+2.40000000000e+006, +1.04524400644e-006, +1.74220917396e-001
+2.50000000000e+006, +1.04511021228e-006, +1.78057797801e-001
+2.60000000000e+006, +1.04492509268e-006, +1.81774521249e-001
+2.70000000000e+006, +1.04476187745e-006, +1.85034000230e-001
+2.80000000000e+006, +1.04459686509e-006, +1.88532432607e-001
+2.90000000000e+006, +1.04448426493e-006, +1.91865781697e-001
+3.00000000000e+006, +1.04433251318e-006, +1.95116336603e-001
+3.10000000000e+006, +1.04422463966e-006, +1.98653868124e-001
+3.20000000000e+006, +1.04410037419e-006, +2.01983287233e-001
+3.30000000000e+006, +1.04398658875e-006, +2.05240293122e-001
+3.40000000000e+006, +1.04387968319e-006, +2.08361295324e-001
+3.50000000000e+006, +1.04375371079e-006, +2.11077781171e-001
+3.60000000000e+006, +1.04367543719e-006, +2.14085948946e-001
+3.70000000000e+006, +1.04363678022e-006, +2.17686873519e-001
+3.80000000000e+006, +1.04356718230e-006, +2.20575313209e-001
+3.90000000000e+006, +1.04343117357e-006, +2.24084026452e-001
+4.00000000000e+006, +1.04344149859e-006, +2.26548377659e-001
+4.10000000000e+006, +1.04337881675e-006, +2.29652631362e-001
+4.20000000000e+006, +1.04332887663e-006, +2.32536074958e-001
+4.30000000000e+006, +1.04327679047e-006, +2.35390837708e-001
+4.40000000000e+006, +1.04324222675e-006, +2.38324489215e-001
+4.50000000000e+006, +1.04321221236e-006, +2.40980242844e-001
+4.60000000000e+006, +1.04318078380e-006, +2.43899934754e-001
+4.70000000000e+006, +1.04314353757e-006, +2.46708066188e-001
+4.80000000000e+006, +1.04312608945e-006, +2.49518897954e-001
+4.90000000000e+006, +1.04309905948e-006, +2.52081020693e-001
+5.00000000000e+006, +1.04308896790e-006, +2.54738854749e-001
+5.10000000000e+006, +1.04308067553e-006, +2.57413743193e-001
+5.20000000000e+006, +1.04306202757e-006, +2.60194582389e-001
+5.30000000000e+006, +1.04304000018e-006, +2.62851151175e-001
+5.40000000000e+006, +1.04304572856e-006, +2.65417089575e-001
+5.50000000000e+006, +1.04304635650e-006, +2.67942659191e-001
+5.60000000000e+006, +1.04304719481e-006, +2.70617498766e-001
+5.70000000000e+006, +1.04304710353e-006, +2.73290977916e-001
+5.80000000000e+006, +1.04306028409e-006, +2.75837380503e-001
+5.90000000000e+006, +1.04307024929e-006, +2.78319800239e-001
+6.00000000000e+006, +1.04307983086e-006, +2.80953838919e-001
+6.10000000000e+006, +1.04309887836e-006, +2.83315395646e-001
+6.20000000000e+006, +1.04312235064e-006, +2.85855346162e-001
+6.30000000000e+006, +1.04314111290e-006, +2.88008492925e-001
+6.40000000000e+006, +1.04315769282e-006, +2.90842709982e-001
+6.50000000000e+006, +1.04317719979e-006, +2.93383465957e-001
+6.60000000000e+006, +1.04321347239e-006, +2.95799393567e-001
+6.70000000000e+006, +1.04324549850e-006, +2.98101036997e-001
+6.80000000000e+006, +1.04327703876e-006, +3.00827575016e-001
+6.90000000000e+006, +1.04331109245e-006, +3.02726533700e-001
+7.00000000000e+006, +1.04335514351e-006, +3.06104517331e-001
+7.10000000000e+006, +1.04339067208e-006, +3.07798858824e-001
+7.20000000000e+006, +1.04343236369e-006, +3.09958612934e-001
+7.30000000000e+006, +1.04348347890e-006, +3.12006751150e-001
+7.40000000000e+006, +1.04352488750e-006, +3.14482964040e-001
+7.50000000000e+006, +1.04357869510e-006, +3.16417152210e-001
+7.60000000000e+006, +1.04362301682e-006, +3.19213189938e-001
+7.70000000000e+006, +1.04368126579e-006, +3.21260832701e-001
+7.80000000000e+006, +1.04373665029e-006, +3.23559448693e-001
+7.90000000000e+006, +1.04378347396e-006, +3.25546086317e-001
+8.00000000000e+006, +1.04385618783e-006, +3.28802992012e-001
+8.10000000000e+006, +1.04389040229e-006, +3.30448403576e-001
+8.20000000000e+006, +1.04395321001e-006, +3.32921522161e-001
+8.30000000000e+006, +1.04400566217e-006, +3.34923873187e-001
+8.40000000000e+006, +1.04407289568e-006, +3.37108822845e-001
+8.50000000000e+006, +1.04414206114e-006, +3.39845051129e-001
+8.60000000000e+006, +1.04415325276e-006, +3.40734955948e-001
