"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","CoreLoss+SolidLoss [W]"
1,0.2,0,0.2,0.005235239955
1,0.2,0,0.25,0.008290567429
1,0.2,0,0.3,0.0120801499
1,0.2,0,0.35,0.01661762736
1,0.2,0,0.4,0.02191540982
1,0.2,0,0.45,0.02798489727
1,0.2,0,0.5,0.03483668972
1,0.2,0,0.55,0.04248075716
1,0.2,0,0.6,0.05092645959
1,0.2,0,0.65,0.06018279702
1,0.2,0,0.7,0.07025818944
1,0.2,0,0.75,0.08116073686
1,0.2,0,0.8,0.09289833927
1,0.2,0,0.85,0.10547849668
1,0.2,0,0.9,0.11890830908
1,0.2,0,0.95,0.1331949765
1,0.2,0,1,0.1483450989
1,0.2,0,1.05,0.1643653763
1,0.2,0,1.1,0.1812622086
1,0.2,0,1.15,0.199041696
1,0.2,0,1.2,0.2177100384
1,0.2,0,1.25,0.2372731357
1,0.2,0,1.3,0.2577366881
1,0.2,0,1.35,0.2791062954
1,0.2,0,1.4,0.3013875578
1,0.2,0,1.45,0.3245859751
1,0.2,0,1.5,0.3487066474
1,0.2,0,1.55,0.3737552748
1,0.2,0,1.6,0.3997355571
1,0.2,0,1.65,0.4266535944
1,0.2,0,1.7,0.4545143867
1,0.2,0,1.75,0.483322934
1,0.2,0,1.8,0.5130832363
1,0.2,0,1.85,0.5438002936
1,0.2,0,1.9,0.5754791059
1,0.2,0,1.95,0.6081226732
1,0.2,0,2,0.6417379955
1,0.2,0,2.05,0.6763270727
1,0.2,0,2.1,0.711894905
1,0.2,0,2.15,0.7484464923
1,0.2,0,2.2,0.7859858345
1,0.2,0,2.25,0.8245159318
1,0.2,0,2.3,0.864042784
1,0.2,0,2.35,0.9045683912
1,0.2,0,2.4,0.9460987535
1,0.2,0,2.45,0.9886358707
1,0.2,0,2.5,1.0321857429
1,0.2,0,2.6,1.1223347523
1,0.2,0,2.8,1.3149378311
1,0.2,0,3,1.52414399
1,0.2,0,3.2,1.750178228
1,0.2,0,3.4,1.993257547
1,0.2,0,3.6,2.253590945
1,0.2,0,3.8,2.531380424
1,0.2,0,4,2.826825982
1,0.2,0,4.2,3.14010362
1,0.2,0,4.4,3.471413338
1,0.2,0,4.6,3.820935136
1,0.2,0,4.8,4.188839014
1,0.2,0,5,4.575284972
1,0.2,0.6666666666666,0.2,0.003109010922
