"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","SolidLoss [W]"
1,0.2,0,0.2,0.004526039955
1,0.2,0,0.25,0.007071937429
1,0.2,0,0.3,0.0101835899
1,0.2,0,0.35,0.01386099736
1,0.2,0,0.4,0.01810415982
1,0.2,0,0.45,0.02291307727
1,0.2,0,0.5,0.02828774972
1,0.2,0,0.55,0.03422817716
1,0.2,0,0.6,0.04073435959
1,0.2,0,0.65,0.04780629702
1,0.2,0,0.7,0.05544398944
1,0.2,0,0.75,0.06364743686
1,0.2,0,0.8,0.07241663927
1,0.2,0,0.85,0.08175159668
1,0.2,0,0.9,0.09165230908
1,0.2,0,0.95,0.1021187765
1,0.2,0,1,0.1131509989
1,0.2,0,1.05,0.1247489763
1,0.2,0,1.1,0.1369127086
1,0.2,0,1.15,0.149642196
1,0.2,0,1.2,0.1629374384
1,0.2,0,1.25,0.1767984357
1,0.2,0,1.3,0.1912251881
1,0.2,0,1.35,0.2062176954
1,0.2,0,1.4,0.2217759578
1,0.2,0,1.45,0.2378999751
1,0.2,0,1.5,0.2545897474
1,0.2,0,1.55,0.2718452748
1,0.2,0,1.6,0.2896665571
1,0.2,0,1.65,0.3080535944
1,0.2,0,1.7,0.3270063867
1,0.2,0,1.75,0.346524934
1,0.2,0,1.8,0.3666092363
1,0.2,0,1.85,0.3872592936
1,0.2,0,1.9,0.4084751059
1,0.2,0,1.95,0.4302566732
1,0.2,0,2,0.4526039955
1,0.2,0,2.05,0.4755170727
1,0.2,0,2.1,0.498995905
1,0.2,0,2.15,0.5230404923
1,0.2,0,2.2,0.5476508345
1,0.2,0,2.25,0.5728269318
1,0.2,0,2.3,0.598568784
1,0.2,0,2.35,0.6248763912
1,0.2,0,2.4,0.6517497535
1,0.2,0,2.45,0.6791888707
1,0.2,0,2.5,0.7071937429
1,0.2,0,2.6,0.7649007523
1,0.2,0,2.8,0.8871038311
1,0.2,0,3,1.01835899
1,0.2,0,3.2,1.158666228
1,0.2,0,3.4,1.308025547
1,0.2,0,3.6,1.466436945
1,0.2,0,3.8,1.633900424
1,0.2,0,4,1.810415982
1,0.2,0,4.2,1.99598362
1,0.2,0,4.4,2.190603338
1,0.2,0,4.6,2.394275136
1,0.2,0,4.8,2.606999014
1,0.2,0,5,2.828774972
1,0.2,0.6666666666666,0.2,0.002400160922
1,0.2,0.6666666666666,0.25,0.003750251441
1,0.2,0.6666666666666,0.3,0.005400362075
1,0.2,0.6666666666666,0.35,0.007350492825
1,0.2,0.6666666666666,0.4,0.00960064369
1,0.2,0.6666666666666,0.45,0.01215081467
1,0.2,0.6666666666666,0.5,0.01500100577
1,0.2,0.6666666666666,0.55,0.01815121698
1,0.2,0.6666666666666,0.6,0.0216014483
1,0.2,0.6666666666666,0.65,0.02535169974
1,0.2,0.6666666666666,0.7,0.0294019713
1,0.2,0.6666666666666,0.75,0.03375226297
1,0.2,0.6666666666666,0.8,0.03840257476
1,0.2,0.6666666666666,0.85,0.04335290666
1,0.2,0.6666666666666,0.9,0.04860325868
1,0.2,0.6666666666666,0.95,0.05415363081
1,0.2,0.6666666666666,1,0.06000402306
1,0.2,0.6666666666666,1.05,0.06615443543
1,0.2,0.6666666666666,1.1,0.0726048679
1,0.2,0.6666666666666,1.15,0.0793553205
1,0.2,0.6666666666666,1.2,0.08640579321
1,0.2,0.6666666666666,1.25,0.09375628603
1,0.2,0.6666666666666,1.3,0.101406799
1,0.2,0.6666666666666,1.35,0.109357332
1,0.2,0.6666666666666,1.4,0.1176078852
1,0.2,0.6666666666666,1.45,0.1261584585
1,0.2,0.6666666666666,1.5,0.1350090519
1,0.2,0.6666666666666,1.55,0.1441596654
1,0.2,0.6666666666666,1.6,0.153610299
1,0.2,0.6666666666666,1.65,0.1633609528
1,0.2,0.6666666666666,1.7,0.1734116266
1,0.2,0.6666666666666,1.75,0.1837623206
1,0.2,0.6666666666666,1.8,0.1944130347
1,0.2,0.6666666666666,1.85,0.2053637689
1,0.2,0.6666666666666,1.9,0.2166145233
1,0.2,0.6666666666666,1.95,0.2281652977
1,0.2,0.6666666666666,2,0.2400160922
1,0.2,0.6666666666666,2.05,0.2521669069
1,0.2,0.6666666666666,2.1,0.2646177417
1,0.2,0.6666666666666,2.15,0.2773685966
1,0.2,0.6666666666666,2.2,0.2904194716
1,0.2,0.6666666666666,2.25,0.3037703667
1,0.2,0.6666666666666,2.3,0.317421282
1,0.2,0.6666666666666,2.35,0.3313722174
1,0.2,0.6666666666666,2.4,0.3456231728
1,0.2,0.6666666666666,2.45,0.3601741484
1,0.2,0.6666666666666,2.5,0.3750251441
1,0.2,0.6666666666666,2.6,0.4056271959
1,0.2,0.6666666666666,2.8,0.4704315408
1,0.2,0.6666666666666,3,0.5400362076
1,0.2,0.6666666666666,3.2,0.6144411961
1,0.2,0.6666666666666,3.4,0.6936465066
1,0.2,0.6666666666666,3.6,0.7776521389
1,0.2,0.6666666666666,3.8,0.866458093
1,0.2,0.6666666666666,4,0.960064369
1,0.2,0.6666666666666,4.2,1.058470967
1,0.2,0.6666666666666,4.4,1.161677886
1,0.2,0.6666666666666,4.6,1.269685128
1,0.2,0.6666666666666,4.8,1.382492691
